file,seed,n_per_z,nz,nd,n_muestras,n_candidatos,best_f,best_cp,best_u,best_index
oertel_seed-18998_nperz-10_nz-100_nd-100_nmuestras-50.json,18998,10,100,100,50,54,0.2656067,"[1.0, 0.5471161977078496, 0.5000212212357211]","[0.5358267949789969, -0.7639707481467372, -0.35949734596885535]",4
oertel_seed-15596_nperz-10_nz-100_nd-100_nmuestras-50.json,15596,10,100,100,50,54,0.288201132,"[1.0, 0.44604398434713266, 0.48418458292900435]","[-0.587785252292473, 0.6068526029998114, 0.5350125376286309]",5
oertel_seed-12877_nperz-10_nz-100_nd-100_nmuestras-50.json,12877,10,100,100,50,54,0.292658634,"[1.0, 0.484054514161913, 0.42244362282077214]","[-0.6129070536529766, -0.22044622084513465, 0.7587808690903622]",1
oertel_seed-8795_nperz-10_nz-100_nd-100_nmuestras-50.json,8795,10,100,100,50,54,0.297310365,"[1.0, 0.5386593817486717, 0.46108928807409993]","[0.5358267949789969, 0.4524135262330099, -0.7128896457825361]",1
oertel_seed-9412_nperz-10_nz-100_nd-100_nmuestras-50.json,9412,10,100,100,50,54,0.297553642,"[1.0, 0.5023736118638911, 0.5003709170654731]","[0.5090414157503713, -0.6632131304202146, -0.5486576169972281]",1
oertel_seed-9920_nperz-10_nz-100_nd-100_nmuestras-50.json,9920,10,100,100,50,54,0.303418642,"[1.0, 0.5525340313714439, 0.46341004839046135]","[0.587785252292473, -0.6691222403055115, -0.4547350049380486]",4
oertel_seed-11842_nperz-10_nz-100_nd-100_nmuestras-50.json,11842,10,100,100,50,54,0.304214943,"[1.0, 0.59861980346113, 0.4930650914190912]","[0.9510565162951535, 0.18163563200134025, 0.24999999999999994]",7
oertel_seed-4_nperz-10_nz-100_nd-100_nmuestras-50.json,4,10,100,100,50,54,0.30609029,"[1.0, 0.5474812405406712, 0.4752890034615529]","[0.5358267949789969, 0.7398902012649933, -0.406758080257275]",4
oertel_seed-15148_nperz-10_nz-100_nd-100_nmuestras-50.json,15148,10,100,100,50,54,0.308416576,"[1.0, 0.5150094709264951, 0.5517787021863343]","[-0.5090414157503713, 0.6456521225518181, 0.569218915440439]",1
oertel_seed-5774_nperz-10_nz-100_nd-100_nmuestras-50.json,5774,10,100,100,50,54,0.309521363,"[1.0, 0.46341153069526925, 0.5050626654408079]","[-0.9921147013144779, 0.1098303498038976, -0.06037974575665199]",6
