file,seed,n_per_z,nz,nd,n_muestras,n_candidatos,best_f,best_cp,best_u
oertel_seed-100_nperz-5_nz-100_nd-100_nmuestras-50.json,100,5,100,100,50,54,0.23330713891299187,"[1.0, 0.4217767187303549, 0.4649582694363392]","[-1.0, -0.0, -0.0]"
oertel_seed-10_nperz-5_nz-100_nd-100_nmuestras-50.json,10,5,100,100,50,54,0.31922767671758073,"[1.0, 0.5035079499035159, 0.5018329451925527]","[0.5090414157503713, 0.2659839141169582, -0.8186143136311997]"
oertel_seed-11_nperz-5_nz-100_nd-100_nmuestras-50.json,11,5,100,100,50,54,0.28698113536616154,"[1.0, 0.44717604620951784, 0.4131307555527819]","[-1.0, -0.0, -0.0]"
oertel_seed-12_nperz-5_nz-100_nd-100_nmuestras-50.json,12,5,100,100,50,54,0.13204545097546816,"[1.0, 0.5285697007886877, 0.5017422448255117]","[-1.0, -0.0, -0.0]"
oertel_seed-13_nperz-5_nz-100_nd-100_nmuestras-50.json,13,5,100,100,50,54,0.20756458753539003,"[2.0, 0.407379231088368, 0.47819210007124774]","[0.48175367410171543, 0.7542739880580515, -0.44607639304103575]"
oertel_seed-14_nperz-5_nz-100_nd-100_nmuestras-50.json,14,5,100,100,50,54,0.1980042657937097,"[1.0, 0.6033965411801644, 0.4164071008237414]","[-1.0, -0.0, -0.0]"
oertel_seed-15_nperz-5_nz-100_nd-100_nmuestras-50.json,15,5,100,100,50,54,0.15473927894914477,"[1.0, 0.4799196427885474, 0.42038380864646974]","[-1.0, -0.0, -0.0]"
oertel_seed-16_nperz-5_nz-100_nd-100_nmuestras-50.json,16,5,100,100,50,54,0.17703837528102906,"[2.0, 0.4339835740246207, 0.5641578280267535]","[0.9510565162951535, -0.2555819531682305, 0.17369331601198335]"
oertel_seed-17_nperz-5_nz-100_nd-100_nmuestras-50.json,17,5,100,100,50,54,0.16855419681811193,"[1.0, 0.5176627979632712, 0.4181269727394468]","[-1.0, -0.0, -0.0]"
oertel_seed-18_nperz-5_nz-100_nd-100_nmuestras-50.json,18,5,100,100,50,54,0.32931311046954687,"[1.0, 0.5152730089577385, 0.5093847068656381]","[-1.0, -0.0, -0.0]"
oertel_seed-19_nperz-5_nz-100_nd-100_nmuestras-50.json,19,5,100,100,50,54,0.2902384525851314,"[1.0, 0.47299068538998706, 0.5903158279387319]","[0.9995065603657316, 0.027525458005412253, 0.015132248592212114]"
oertel_seed-20_nperz-5_nz-100_nd-100_nmuestras-50.json,20,5,100,100,50,54,0.33418139981841855,"[1.0, 0.5326759116871154, 0.5187728235194448]","[-1.0, -0.0, -0.0]"
oertel_seed-21_nperz-5_nz-100_nd-100_nmuestras-50.json,21,5,100,100,50,54,0.21446237102265192,"[1.0, 0.44733687039479236, 0.5358582862884853]","[-1.0, -0.0, -0.0]"
oertel_seed-22_nperz-5_nz-100_nd-100_nmuestras-50.json,22,5,100,100,50,54,0.12578721578088964,"[2.0, 0.6710296416969749, 0.5719957569466828]","[0.9995065603657316, 0.026520981050879647, 0.016830726364690907]"
oertel_seed-23_nperz-5_nz-100_nd-100_nmuestras-50.json,23,5,100,100,50,54,0.2173511787749507,"[1.0, 0.44180816019813807, 0.517415599014415]","[-1.0, -0.0, -0.0]"
oertel_seed-24_nperz-5_nz-100_nd-100_nmuestras-50.json,24,5,100,100,50,54,0.37493411519706493,"[1.0, 0.6933392570383681, 0.5325512222242192]","[0.18738131458572474, 0.061678326800275414, 0.9803489312215544]"
oertel_seed-25_nperz-5_nz-100_nd-100_nmuestras-50.json,25,5,100,100,50,54,0.14534033743072475,"[2.0, 0.31412274574484716, 0.7065263897239575]","[0.3090169943749471, -0.9435571515973542, -0.11919898848967403]"
oertel_seed-26_nperz-5_nz-100_nd-100_nmuestras-50.json,26,5,100,100,50,54,0.24133820683124538,"[1.0, 0.6176878781363021, 0.5316461589235488]","[-1.0, -0.0, -0.0]"
oertel_seed-27_nperz-5_nz-100_nd-100_nmuestras-50.json,27,5,100,100,50,54,0.17635567903800436,"[1.0, 0.5268313293768954, 0.5152951333434418]","[-1.0, -0.0, -0.0]"
oertel_seed-28_nperz-5_nz-100_nd-100_nmuestras-50.json,28,5,100,100,50,54,0.2809291424885086,"[1.0, 0.523060022653893, 0.5989532469093808]","[-1.0, -0.0, -0.0]"
oertel_seed-29_nperz-5_nz-100_nd-100_nmuestras-50.json,29,5,100,100,50,54,0.22933799255111967,"[1.0, 0.4587013538780627, 0.6030209367400542]","[-1.0, -0.0, -0.0]"
oertel_seed-30_nperz-5_nz-100_nd-100_nmuestras-50.json,30,5,100,100,50,54,0.17220266479755855,"[2.0, 0.5281761543854523, 0.40106943912127363]","[0.36812455268467775, -0.9224449205862475, -0.11653189346843026]"
oertel_seed-31_nperz-5_nz-100_nd-100_nmuestras-50.json,31,5,100,100,50,54,0.28537660880869337,"[1.0, 0.39857481609776996, 0.4887410653322288]","[0.968583161128631, 0.21405783757365957, -0.12659345224519794]"
oertel_seed-32_nperz-5_nz-100_nd-100_nmuestras-50.json,32,5,100,100,50,54,0.16946414675528357,"[1.0, 0.4784948120603508, 0.5240620293590861]","[-1.0, -0.0, -0.0]"
oertel_seed-33_nperz-5_nz-100_nd-100_nmuestras-50.json,33,5,100,100,50,54,0.2346186093887553,"[1.0, 0.48071895984726387, 0.46080319813701526]","[-1.0, -0.0, -0.0]"
oertel_seed-34_nperz-5_nz-100_nd-100_nmuestras-50.json,34,5,100,100,50,54,0.09431708414643637,"[1.0, 0.4654076793933108, 0.5173649242325956]","[-1.0, -0.0, -0.0]"
oertel_seed-35_nperz-5_nz-100_nd-100_nmuestras-50.json,35,5,100,100,50,54,0.17029875406768907,"[1.0, 0.5064638823498292, 0.4843581311045293]","[-1.0, -0.0, -0.0]"
oertel_seed-36_nperz-5_nz-100_nd-100_nmuestras-50.json,36,5,100,100,50,54,0.33738838706431423,"[1.0, 0.5498940053859382, 0.3578574739506495]","[0.2181432413965427, 0.44305693845677224, 0.86954820195221]"
oertel_seed-37_nperz-5_nz-100_nd-100_nmuestras-50.json,37,5,100,100,50,54,0.13483940912485312,"[1.0, 0.50945884813823, 0.5839695030502129]","[-1.0, -0.0, -0.0]"
oertel_seed-38_nperz-5_nz-100_nd-100_nmuestras-50.json,38,5,100,100,50,54,0.3409671454982429,"[1.0, 0.5973153890151107, 0.5788354099928983]","[-1.0, -0.0, -0.0]"
oertel_seed-39_nperz-5_nz-100_nd-100_nmuestras-50.json,39,5,100,100,50,54,0.17309481208324085,"[1.0, 0.6167000995763074, 0.5949426555824512]","[-1.0, -0.0, -0.0]"
oertel_seed-40_nperz-5_nz-100_nd-100_nmuestras-50.json,40,5,100,100,50,54,0.18660303481506935,"[1.0, 0.5218525777357116, 0.5309351174035326]","[-1.0, -0.0, -0.0]"
oertel_seed-41_nperz-5_nz-100_nd-100_nmuestras-50.json,41,5,100,100,50,54,0.3388165400558506,"[1.0, 0.430131590101624, 0.43628213989949327]","[0.9995065603657316, -0.02150214422195601, 0.02289745793144782]"
oertel_seed-42_nperz-5_nz-100_nd-100_nmuestras-50.json,42,5,100,100,50,54,0.34991189925763094,"[1.0, 0.3875113860356857, 0.5009166691178163]","[-1.0, -0.0, -0.0]"
