file,seed,n_per_z,nz,nd,n_muestras,n_candidatos,best_f,best_cp,best_u
oertel_seed-16469_nperz-5_nz-100_nd-100_nmuestras-50.json,16469,5,100,100,50,54,0.235953496,"[2.0, 0.5386209379970359, 0.42481894805921205]","[0.27899110603922916, -0.776893911303601, -0.5644464663104909]"
oertel_seed-18137_nperz-5_nz-100_nd-100_nmuestras-50.json,18137,5,100,100,50,54,0.240474419,"[2.0, 0.40825070003603825, 0.5245228765198489]","[0.587785252292473, 0.7895332455038164, -0.17648158949783962]"
oertel_seed-1934_nperz-5_nz-100_nd-100_nmuestras-50.json,1934,5,100,100,50,54,0.240959253,"[2.0, 0.5323076314512641, 0.5740920004962348]","[0.9921147013144779, 0.011794899213492076, 0.12477700023733543]"
oertel_seed-1271_nperz-5_nz-100_nd-100_nmuestras-50.json,1271,5,100,100,50,54,0.242554908,"[0.0, 0.524105750346551, 0.49397641626189553]","[-0.4257792915650727, 0.33308905394604915, 0.84128691717848]"
oertel_seed-1984_nperz-5_nz-100_nd-100_nmuestras-50.json,1984,5,100,100,50,54,0.244501394,"[1.0, 0.39838594013671236, 0.47772970054529057]","[-0.9876883405951378, -0.11734322389839631, -0.10345196787666268]"
oertel_seed-18559_nperz-5_nz-100_nd-100_nmuestras-50.json,18559,5,100,100,50,54,0.244583532,"[1.0, 0.5606396445368269, 0.4279210717639278]","[0.9995065603657316, 0.015132248592212108, 0.027525458005412257]"
oertel_seed-17021_nperz-5_nz-100_nd-100_nmuestras-50.json,17021,5,100,100,50,54,0.244968006,"[1.0, 0.5477795822861008, 0.42290648400837005]","[-0.3090169943749471, -0.628944958819362, 0.7133980207171764]"
oertel_seed-18600_nperz-5_nz-100_nd-100_nmuestras-50.json,18600,5,100,100,50,54,0.245696225,"[0.0, 0.6592303726754439, 0.5609737847057651]","[-0.9995065603657316, -0.03134877712019301, -0.001972297881325772]"
oertel_seed-6784_nperz-5_nz-100_nd-100_nmuestras-50.json,6784,5,100,100,50,54,0.245912488,"[0.0, 0.622183323987734, 0.5936998749281839]","[-0.6613118653236519, 0.27613430197153804, -0.6974356343468862]"
oertel_seed-16350_nperz-5_nz-100_nd-100_nmuestras-50.json,16350,5,100,100,50,54,0.24634189,"[1.0, 0.4607335374794224, 0.5561866478548219]","[0.4257792915650727, -0.4107828857269093, -0.8062068070093539]"
oertel_seed-11394_nperz-5_nz-100_nd-100_nmuestras-50.json,11394,5,100,100,50,54,0.246484805,"[1.0, 0.46948172344245453, 0.4190240239419519]","[-0.6129070536529766, 0.522538885129001, 0.592704021506998]"
oertel_seed-8973_nperz-5_nz-100_nd-100_nmuestras-50.json,8973,5,100,100,50,54,0.246639122,"[1.0, 0.39425607026717296, 0.579680180105053]","[0.9980267284282716, -0.041524115594571406, 0.04709986376678552]"
oertel_seed-3931_nperz-5_nz-100_nd-100_nmuestras-50.json,3931,5,100,100,50,54,0.247483125,"[0.0, 0.5568251599448462, 0.5891974906837117]","[-0.3090169943749471, 0.5590169943749476, 0.7694208842938133]"
oertel_seed-2716_nperz-5_nz-100_nd-100_nmuestras-50.json,2716,5,100,100,50,54,0.247620181,"[2.0, 0.30724327528827383, 0.48043436539215373]","[0.8270805742745618, -0.33038432006022, 0.4547350049380486]"
oertel_seed-2693_nperz-5_nz-100_nd-100_nmuestras-50.json,2693,5,100,100,50,54,0.248057349,"[0.0, 0.6139555495820048, 0.5212887868110113]","[-0.27899110603922916, 0.564446466310491, 0.7768939113036009]"
oertel_seed-15777_nperz-5_nz-100_nd-100_nmuestras-50.json,15777,5,100,100,50,54,0.250497339,"[1.0, 0.3633673916330253, 0.4535539838033671]","[0.9995065603657316, -0.014260186211077967, 0.02798719126832131]"
oertel_seed-8739_nperz-5_nz-100_nd-100_nmuestras-50.json,8739,5,100,100,50,54,0.251081187,"[0.0, 0.47679229391382827, 0.48932303783566095]","[-0.9995065603657316, -0.023561558089999483, -0.02077230767718885]"
oertel_seed-10997_nperz-5_nz-100_nd-100_nmuestras-50.json,10997,5,100,100,50,54,0.252966279,"[1.0, 0.4629095568216738, 0.558244557631514]","[-0.4539904997395467, 0.45355922251566416, 0.7669267617036342]"
oertel_seed-5060_nperz-5_nz-100_nd-100_nmuestras-50.json,5060,5,100,100,50,54,0.253024911,"[0.0, 0.5797449658260332, 0.4328523862470884]","[-0.3387379202452915, 0.7611885317645367, -0.5530358401568957]"
oertel_seed-2909_nperz-5_nz-100_nd-100_nmuestras-50.json,2909,5,100,100,50,54,0.253185569,"[1.0, 0.5544799223228472, 0.39551973656232575]","[0.36812455268467775, 0.9005658478447125, -0.23122600936408488]"
oertel_seed-1958_nperz-5_nz-100_nd-100_nmuestras-50.json,1958,5,100,100,50,54,0.253667759,"[1.0, 0.5675939472058302, 0.4401265457106856]","[0.9995065603657316, 0.01337405074780664, 0.02842130455238309]"
oertel_seed-8347_nperz-5_nz-100_nd-100_nmuestras-50.json,8347,5,100,100,50,54,0.253865381,"[1.0, 0.6023505832203848, 0.5065481072573338]","[-0.9602936856769431, -0.278440580820917, -0.017517996492260966]"
oertel_seed-5672_nperz-5_nz-100_nd-100_nmuestras-50.json,5672,5,100,100,50,54,0.254041497,"[1.0, 0.5281613190992939, 0.5452480516094412]","[0.4257792915650727, -0.1973819061282171, -0.8830358871572187]"
oertel_seed-10819_nperz-5_nz-100_nd-100_nmuestras-50.json,10819,5,100,100,50,54,0.254449387,"[2.0, 0.41457894321614064, 0.43275912399088395]","[0.5620833778521307, 0.7119030099966721, -0.42101826646835283]"
oertel_seed-15139_nperz-5_nz-100_nd-100_nmuestras-50.json,15139,5,100,100,50,54,0.254593063,"[1.0, 0.43752764656599774, 0.529255539848437]","[-0.9995065603657316, -0.031271357017495435, -0.002956013556896865]"
oertel_seed-16480_nperz-5_nz-100_nd-100_nmuestras-50.json,16480,5,100,100,50,54,0.254702553,"[1.0, 0.6319405163993927, 0.5978519115699645]","[0.6129070536529766, 0.6535218614016094, -0.44413299838292025]"
oertel_seed-8197_nperz-5_nz-100_nd-100_nmuestras-50.json,8197,5,100,100,50,54,0.25536018,"[1.0, 0.6109356960550291, 0.4472211336340904]","[-0.48175367410171543, -0.8758742755961557, 0.0275254580054122]"
oertel_seed-14514_nperz-5_nz-100_nd-100_nmuestras-50.json,14514,5,100,100,50,54,0.255474537,"[1.0, 0.3762725495838309, 0.3761303180026158]","[0.7289686274214113, 0.589218463536743, -0.348462827949759]"
oertel_seed-14834_nperz-5_nz-100_nd-100_nmuestras-50.json,14834,5,100,100,50,54,0.255913316,"[1.0, 0.3811874393042664, 0.44339650807012315]","[-0.5358267949789969, 0.8376701476209043, 0.10582234909180853]"
oertel_seed-17042_nperz-5_nz-100_nd-100_nmuestras-50.json,17042,5,100,100,50,54,0.256249657,"[0.0, 0.505864336957442, 0.5163714705940341]","[-0.5090414157503713, -0.711903009996672, 0.48380878599766663]"
oertel_seed-16283_nperz-5_nz-100_nd-100_nmuestras-50.json,16283,5,100,100,50,54,0.256856254,"[1.0, 0.4761572138741299, 0.4156962347013145]","[-0.36812455268467775, 0.9297764858882515, 0.0]"
oertel_seed-4358_nperz-5_nz-100_nd-100_nmuestras-50.json,4358,5,100,100,50,54,0.257072621,"[1.0, 0.6093050074268411, 0.4583883690377232]","[-0.9980267284282716, -0.05301578909537893, -0.03364484283445808]"
oertel_seed-8222_nperz-5_nz-100_nd-100_nmuestras-50.json,8222,5,100,100,50,54,0.257866515,"[1.0, 0.4536826554378173, 0.6997705779779663]","[0.48175367410171543, -5.365830853935806e-17, -0.8763066800438635]"
oertel_seed-2164_nperz-5_nz-100_nd-100_nmuestras-50.json,2164,5,100,100,50,54,0.257998473,"[1.0, 0.4951124715409502, 0.5775868501651718]","[-0.5620833778521307, 0.5069235179122334, 0.6535218614016094]"
oertel_seed-16300_nperz-5_nz-100_nd-100_nmuestras-50.json,16300,5,100,100,50,54,0.2580003,"[0.0, 0.603166336888095, 0.5305780895627192]","[-0.27899110603922916, 0.3535076834857455, 0.8928584884893851]"
oertel_seed-5650_nperz-5_nz-100_nd-100_nmuestras-50.json,5650,5,100,100,50,54,0.258007654,"[0.0, 0.43189641307431, 0.4848339146117375]","[-0.6845471059286887, 0.6154885689467716, 0.39060092327145324]"
oertel_seed-15743_nperz-5_nz-100_nd-100_nmuestras-50.json,15743,5,100,100,50,54,0.258014078,"[1.0, 0.5952649376373497, 0.5633049534370824]","[-0.99556196460308, -0.07945827695671484, -0.05042575590633875]"
oertel_seed-18744_nperz-5_nz-100_nd-100_nmuestras-50.json,18744,5,100,100,50,54,0.258219171,"[2.0, 0.4900998874582053, 0.4567388604777211]","[0.3971478906347807, 0.7424790888445593, -0.5394426342002432]"
oertel_seed-12723_nperz-5_nz-100_nd-100_nmuestras-50.json,12723,5,100,100,50,54,0.258611872,"[1.0, 0.4061289681978271, 0.3934607316522973]","[-0.8607420270039436, 0.48412715551350105, -0.1573024483075478]"
